"Ensembl_gene_identifier","GENEID"
"ENSG00000155744","FAM126B"
"ENSG00000155749","FLACC1"
"ENSG00000155754","C2CD6"
"ENSG00000155755","TMEM237"
"ENSG00000155760","FZD7"
"ENSG00000155761","SPAG17"
"ENSG00000155792","DEPTOR"
"ENSG00000155816","FMN2"
"ENSG00000155827","RNF20"
"ENSG00000155833","CYLC2"
"ENSG00000155846","PPARGC1B"
"ENSG00000155849","ELMO1"
"ENSG00000155850","SLC26A2"
"ENSG00000155858","LSM11"
"ENSG00000155868","MED7"
"ENSG00000155875","SAXO1"
"ENSG00000155876","RRAGA"
"ENSG00000155886","SLC24A2"
"ENSG00000155890","TRIM42"
"ENSG00000155893","PXYLP1"
"ENSG00000155897","ADCY8"
"ENSG00000155903","RASA2"
"ENSG00000155906","RMND1"
"ENSG00000155918","RAET1L"
"ENSG00000155926","SLA"
"ENSG00000155957","TMBIM4"
"ENSG00000155959","VBP1"
"ENSG00000155961","RAB39B"
"ENSG00000155962","CLIC2"
"ENSG00000155966","AFF2"
"ENSG00000155970","MICU3"
"ENSG00000155974","GRIP1"
"ENSG00000155975","VPS37A"
"ENSG00000155980","KIF5A"
"ENSG00000156006","NAT2"
"ENSG00000156009","MAGEA8"
"ENSG00000156011","PSD3"
"ENSG00000156017","CARNMT1"
"ENSG00000156026","MCU"
"ENSG00000156030","MIDEAS"
"ENSG00000156042","CFAP70"
"ENSG00000156049","GNA14"
"ENSG00000156050","FAM161B"
"ENSG00000156052","GNAQ"
"ENSG00000156076","WIF1"
"ENSG00000156096","UGT2B4"
"ENSG00000156097","GPR61"
"ENSG00000156103","MMP16"
"ENSG00000156110","ADK"
"ENSG00000156113","KCNMA1"
"ENSG00000156127","BATF"
"ENSG00000156136","DCK"
"ENSG00000156140","ADAMTS3"
"ENSG00000156150","ALX3"
"ENSG00000156162","DPY19L4"
"ENSG00000156170","NDUFAF6"
"ENSG00000156171","DRAM2"
"ENSG00000156172","CFAP418"
"ENSG00000156194","PPEF2"
"ENSG00000156206","CFAP161"
"ENSG00000156218","ADAMTSL3"
"ENSG00000156219","ART3"
"ENSG00000156222","SLC28A1"
"ENSG00000156232","WHAMM"
"ENSG00000156234","CXCL13"
"ENSG00000156239","N6AMT1"
"ENSG00000156253","RWDD2B"
"ENSG00000156256","USP16"
"ENSG00000156261","CCT8"
"ENSG00000156265","MAP3K7CL"
"ENSG00000156269","NAA11"
"ENSG00000156273","BACH1"
"ENSG00000156273","GRIK1-AS2"
"ENSG00000156282","CLDN17"
"ENSG00000156284","CLDN8"
"ENSG00000156298","TSPAN7"
"ENSG00000156299","TIAM1"
"ENSG00000156304","SCAF4"
"ENSG00000156313","RPGR"
"ENSG00000156345","CDK20"
"ENSG00000156374","PCGF6"
"ENSG00000156381","ANKRD9"
"ENSG00000156384","SFR1"
"ENSG00000156395","SORCS3"
"ENSG00000156398","SFXN2"
"ENSG00000156411","ATP5MJ"
"ENSG00000156413","FUT6"
"ENSG00000156414","TDRD9"
"ENSG00000156427","FGF18"
"ENSG00000156453","PCDH1"
"ENSG00000156463","SH3RF2"
"ENSG00000156466","GDF6"
"ENSG00000156467","UQCRB"
"ENSG00000156469","MTERF3"
"ENSG00000156471","PTDSS1"
"ENSG00000156475","PPP2R2B"
"ENSG00000156482","RPL30"
"ENSG00000156486","KCNS2"
"ENSG00000156500","PABIR3"
"ENSG00000156502","SUPV3L1"
"ENSG00000156504","PABIR2"
"ENSG00000156508","EEF1A1"
"ENSG00000156509","FBXO43"
"ENSG00000156510","HKDC1"
"ENSG00000156515","HK1"
"ENSG00000156521","TYSND1"
"ENSG00000156531","PHF6"
"ENSG00000156535","CD109"
"ENSG00000156564","LRFN2"
"ENSG00000156574","NODAL"
"ENSG00000156575","PRG3"
"ENSG00000156587","UBE2L6"
"ENSG00000156599","ZDHHC5"
"ENSG00000156603","MED19"
"ENSG00000156639","ZFAND3"
"ENSG00000156642","NPTN"
"ENSG00000156650","KAT6B"
"ENSG00000156671","SAMD8"
"ENSG00000156675","RAB11FIP1"
"ENSG00000156687","UNC5D"
"ENSG00000156689","GLYATL2"
"ENSG00000156697","UTP14A"
"ENSG00000156709","AIFM1"
"ENSG00000156711","MAPK13"
"ENSG00000156735","BAG4"
"ENSG00000156738","MS4A1"
"ENSG00000156755",NA
"ENSG00000156787","TBC1D31"
"ENSG00000156795","NTAQ1"
"ENSG00000156802","ATAD2"
"ENSG00000156804","FBXO32"
"ENSG00000156831","NSMCE2"
"ENSG00000156853","ZNF689"
"ENSG00000156858","PRR14"
"ENSG00000156860","FBRS"
"ENSG00000156869","FRRS1"
"ENSG00000156873","PHKG2"
"ENSG00000156875","MFSD14A"
"ENSG00000156876","SASS6"
"ENSG00000156885","COX6A2"
"ENSG00000156886","ITGAD"
"ENSG00000156920","ADGRG4"
"ENSG00000156925","ZIC3"
"ENSG00000156928","MALSU1"
"ENSG00000156931","VPS8"
"ENSG00000156958","GALK2"
"ENSG00000156959","LHFPL4"
"ENSG00000156966","B3GNT7"
"ENSG00000156968","MPV17L"
"ENSG00000156970","BUB1B"
"ENSG00000156973","PDE6D"
"ENSG00000156976","EIF4A2"
"ENSG00000156983","BRPF1"
"ENSG00000156990","RPUSD3"
"ENSG00000157005","SST"
"ENSG00000157014","TATDN2"
"ENSG00000157017","GHRL"
"ENSG00000157020","SEC13"
"ENSG00000157036","EXOG"
"ENSG00000157045","NTAN1"
"ENSG00000157060","SHCBP1L"
"ENSG00000157064","NMNAT2"
"ENSG00000157077","ZFYVE9"
"ENSG00000157087","ATP2B2"
"ENSG00000157093","LYZL4"
"ENSG00000157103","SLC6A1"
"ENSG00000157106","SMG1"
"ENSG00000157107","FCHO2"
"ENSG00000157110","RBPMS"
"ENSG00000157111","TMEM171"
"ENSG00000157119","KLHL40"
"ENSG00000157131","C8A"
"ENSG00000157150","TIMP4"
"ENSG00000157152","SYN2"
"ENSG00000157168","NRG1"
"ENSG00000157181","ODR4"
"ENSG00000157184","CPT2"
"ENSG00000157191","NECAP2"
"ENSG00000157193","LRP8"
"ENSG00000157211","CDCP2"
"ENSG00000157212","PAXIP1"
"ENSG00000157214","STEAP2"
"ENSG00000157216","SSBP3"
"ENSG00000157219","HTR5A"
"ENSG00000157224","CLDN12"
"ENSG00000157227","MMP14"
"ENSG00000157240","FZD1"
"ENSG00000157259","GATAD1"
"ENSG00000157303","SUSD3"
"ENSG00000157315","TMED6"
"ENSG00000157322","CLEC18A"
"ENSG00000157326","DHRS4"
"ENSG00000157330","CFAP107"
"ENSG00000157335","CLEC18C"
"ENSG00000157343","ARMC12"
"ENSG00000157349","DDX19B"
"ENSG00000157350","ST3GAL2"
"ENSG00000157353","FCSK"
"ENSG00000157368","IL34"
"ENSG00000157379","DHRS1"
"ENSG00000157388","CACNA1D"
"ENSG00000157399","ARSL"
"ENSG00000157404","KIT"
"ENSG00000157423","HYDIN"
"ENSG00000157426","AASDH"
"ENSG00000157429","ZNF19"
"ENSG00000157445","CACNA2D3"
"ENSG00000157450","RNF111"
"ENSG00000157456","CCNB2"
"ENSG00000157470","FAM81A"
"ENSG00000157483","MYO1E"
"ENSG00000157500","APPL1"
"ENSG00000157502","PWWP3B"
"ENSG00000157510","AFAP1L1"
"ENSG00000157514","TSC22D3"
"ENSG00000157538","VPS26C"
"ENSG00000157540","DYRK1A"
"ENSG00000157542","KCNJ6"
"ENSG00000157551","KCNJ15"
"ENSG00000157554","ERG"
"ENSG00000157557","ETS2"
"ENSG00000157570","TSPAN18"
"ENSG00000157578","LCA5L"
"ENSG00000157593","SLC35B2"
"ENSG00000157600","TMEM164"
"ENSG00000157601","MX1"
"ENSG00000157613","CREB3L1"
"ENSG00000157617","C2CD2"
"ENSG00000157625","TAB3"
"ENSG00000157637","SLC38A10"
"ENSG00000157653","C9orf43"
"ENSG00000157654","PALM2AKAP2"
"ENSG00000157657","ZNF618"
"ENSG00000157680","DGKI"
"ENSG00000157693","TMEM268"
"ENSG00000157703","SVOPL"
"ENSG00000157734","SNX22"
"ENSG00000157741","UBN2"
"ENSG00000157764","BRAF"
"ENSG00000157765","SLC34A2"
"ENSG00000157766","ACAN"
"ENSG00000157778","PSMG3"
"ENSG00000157782","CABP1"
"ENSG00000157796","WDR19"
"ENSG00000157800","SLC37A3"
"ENSG00000157823","AP3S2"
"ENSG00000157827","FMNL2"
"ENSG00000157833","GAREM2"
"ENSG00000157837","SPPL3"
"ENSG00000157851","DPYSL5"
"ENSG00000157856","DRC1"
"ENSG00000157869","RAB28"
"ENSG00000157870","PRXL2B"
"ENSG00000157873","TNFRSF14"
"ENSG00000157881","PANK4"
"ENSG00000157884","CIB4"
"ENSG00000157890","MEGF11"
"ENSG00000157895","C12orf43"
"ENSG00000157911","PEX10"
"ENSG00000157916","RER1"
"ENSG00000157927","RADIL"
"ENSG00000157933","SKI"
"ENSG00000157954","WIPI2"
"ENSG00000157978","LDLRAP1"
"ENSG00000157985","AGAP1"
"ENSG00000157992","KRTCAP3"
"ENSG00000157999","ANKRD61"
"ENSG00000158006","PAFAH2"
"ENSG00000158008","EXTL1"
"ENSG00000158014","SLC30A2"
"ENSG00000158019","BABAM2"
"ENSG00000158022","TRIM63"
"ENSG00000158023","CFAP251"
"ENSG00000158042","MRPL17"
"ENSG00000158050","DUSP2"
"ENSG00000158055","GRHL3"
"ENSG00000158062","UBXN11"
"ENSG00000158077","NLRP14"
"ENSG00000158079","PTPDC1"
"ENSG00000158089","GALNT14"
"ENSG00000158092","NCK1"
"ENSG00000158104","HPD"
"ENSG00000158106","RHPN1"
"ENSG00000158109","TPRG1L"
"ENSG00000158113","LRRC43"
"ENSG00000158122","PRXL2C"
"ENSG00000158125","XDH"
"ENSG00000158156","XKR8"
"ENSG00000158158","CNNM4"
"ENSG00000158161","EYA3"
"ENSG00000158163","DZIP1L"
"ENSG00000158164","TMSB15A"
"ENSG00000158169","FANCC"
"ENSG00000158169","LOC105376156"
"ENSG00000158186","MRAS"
"ENSG00000158195","WASF2"
"ENSG00000158201","ABHD3"
"ENSG00000158220","ESYT3"
"ENSG00000158234","FAIM"
"ENSG00000158246","TENT5B"
"ENSG00000158258","CLSTN2"
"ENSG00000158270","COLEC12"
"ENSG00000158286","RNF207"
"ENSG00000158290","CUL4B"
"ENSG00000158292","GPR153"
"ENSG00000158296","SLC13A3"
"ENSG00000158301","GPRASP2"
"ENSG00000158315","RHBDL2"
"ENSG00000158321","AUTS2"
"ENSG00000158352","SHROOM4"
"ENSG00000158373","H2BC5"
"ENSG00000158402","CDC25C"
"ENSG00000158406","H4C8"
"ENSG00000158411","MITD1"
"ENSG00000158417","EIF5B"
"ENSG00000158423","RIBC1"
"ENSG00000158427","TMSB15B"
"ENSG00000158428","CATIP"
"ENSG00000158435","CNOT11"
"ENSG00000158445","KCNB1"
"ENSG00000158457","TSPAN33"
"ENSG00000158458","NRG2"
"ENSG00000158467","AHCYL2"
"ENSG00000158470","B4GALT5"
"ENSG00000158473","CD1D"
"ENSG00000158477","CD1A"
"ENSG00000158480","SPATA2"
"ENSG00000158481","CD1C"
"ENSG00000158483","FAM86C1P"
"ENSG00000158485","CD1B"
"ENSG00000158486","DNAH3"
"ENSG00000158488","CD1E"
"ENSG00000158497","HMHB1"
"ENSG00000158516","CPA2"
"ENSG00000158517","NCF1"
"ENSG00000158525","CPA5"
"ENSG00000158526","TSR2"
"ENSG00000158528","PPP1R9A"
"ENSG00000158545","ZC3H18"
"ENSG00000158552","ZFAND2B"
"ENSG00000158553","POM121L2"
"ENSG00000158555","GDPD5"
"ENSG00000158560","DYNC1I1"
"ENSG00000158571","PFKFB1"
"ENSG00000158578","ALAS2"
"ENSG00000158604","TMED4"
"ENSG00000158615","PPP1R15B"
"ENSG00000158623","COPG2"
"ENSG00000158636","EMSY"
"ENSG00000158639","PAGE5"
"ENSG00000158669","GPAT4"
"ENSG00000158683","PKD1L1"
"ENSG00000158691","ZSCAN12"
"ENSG00000158710","TAGLN2"
"ENSG00000158711","ELK4"
"ENSG00000158714","SLAMF8"
"ENSG00000158715","SLC45A3"
"ENSG00000158716","DUSP23"
"ENSG00000158717","RNF166"
"ENSG00000158731",NA
"ENSG00000158747","MICOS10-NBL1"
"ENSG00000158747","NBL1"
"ENSG00000158748","HTR6"
"ENSG00000158764","ITLN2"
"ENSG00000158769","F11R"
"ENSG00000158773","USF1"
"ENSG00000158786","PLA2G2F"
"ENSG00000158792","SPATA2L"
"ENSG00000158793","NIT1"
"ENSG00000158796","DEDD"
"ENSG00000158805","ZNF276"
"ENSG00000158806","NPM2"
"ENSG00000158806",NA
"ENSG00000158813","EDA"
"ENSG00000158815","FGF17"
"ENSG00000158816","VWA5B1"
"ENSG00000158825","CDA"
"ENSG00000158828","PINK1"
"ENSG00000158850","B4GALT3"
"ENSG00000158856","DMTN"
"ENSG00000158859","ADAMTS4"
"ENSG00000158863","FHIP2B"
"ENSG00000158864","NDUFS2"
"ENSG00000158865","SLC5A11"
"ENSG00000158869","FCER1G"
"ENSG00000158874","APOA2"
"ENSG00000158882","TOMM40L"
"ENSG00000158887","MPZ"
"ENSG00000158901","WFDC8"
"ENSG00000158941","CCAR2"
"ENSG00000158955","WNT9B"
"ENSG00000158966","CACHD1"
"ENSG00000158985","CDC42SE2"
"ENSG00000158987","RAPGEF6"
"ENSG00000159023","EPB41"
"ENSG00000159055","MIS18A"
"ENSG00000159063","ALG8"
"ENSG00000159069","FBXW5"
"ENSG00000159079","CFAP298"
"ENSG00000159082","SYNJ1"
"ENSG00000159082",NA
"ENSG00000159086","PAXBP1"
"ENSG00000159110","IFNAR2"
"ENSG00000159111","MRPL10"
"ENSG00000159128","IFNGR2"
"ENSG00000159131","GART"
"ENSG00000159140","SON"
"ENSG00000159147","DONSON"
"ENSG00000159164","SV2A"
"ENSG00000159166","LAD1"
"ENSG00000159167","STC1"
"ENSG00000159173","TNNI1"
"ENSG00000159176","CSRP1"
"ENSG00000159182","PRAC1"
"ENSG00000159184","HOXB13"
"ENSG00000159186",NA
"ENSG00000159189","C1QC"
"ENSG00000159197","KCNE2"
"ENSG00000159199","ATP5MC1"
"ENSG00000159200","RCAN1"
"ENSG00000159202","UBE2Z"
"ENSG00000159208","CIART"
"ENSG00000159210","SNF8"
"ENSG00000159212","CLIC6"
"ENSG00000159214","CCDC24"
"ENSG00000159216","LOC100506403"
"ENSG00000159216","RUNX1"
"ENSG00000159217","IGF2BP1"
"ENSG00000159224","GIP"
"ENSG00000159228","CBR1"
"ENSG00000159231","CBR3"
"ENSG00000159248","GJD2"
"ENSG00000159251","ACTC1"
"ENSG00000159256","MORC3"
"ENSG00000159259","CHAF1B"
"ENSG00000159261","CLDN14"
"ENSG00000159263","SIM2"
"ENSG00000159267","HLCS"
"ENSG00000159289","GOLGA6A"
"ENSG00000159307","SCUBE1"
"ENSG00000159314","ARHGAP27"
"ENSG00000159322","ADPGK"
"ENSG00000159335","PTMS"
"ENSG00000159337","PLA2G4D"
"ENSG00000159339","PADI4"
"ENSG00000159346","ADIPOR1"
"ENSG00000159348","CYB5R1"
"ENSG00000159352","PSMD4"
"ENSG00000159363","ATP13A2"
"ENSG00000159374","M1AP"
"ENSG00000159377","PSMB4"
"ENSG00000159387","IRX6"
"ENSG00000159388","BTG2"
"ENSG00000159398","CES5A"
"ENSG00000159399","HK2"
"ENSG00000159403","C1R"
"ENSG00000159409","CELF3"
"ENSG00000159423","ALDH4A1"
"ENSG00000159433","STARD9"
"ENSG00000159445","THEM4"
"ENSG00000159450","TCHH"
"ENSG00000159455","LCE2B"
"ENSG00000159459","UBR1"
"ENSG00000159461","AMFR"
"ENSG00000159479","MED8"
"ENSG00000159495","TGM7"
"ENSG00000159496","RGL4"
"ENSG00000159516","SPRR2G"
"ENSG00000159527","PGLYRP3"
"ENSG00000159556","ISL2"
"ENSG00000159579","RSPRY1"
"ENSG00000159588","CCDC17"
"ENSG00000159592","GPBP1L1"
"ENSG00000159593","NAE1"
"ENSG00000159596","TMEM69"
"ENSG00000159618","ADGRG5"
"ENSG00000159625","DRC7"
"ENSG00000159640","ACE"
"ENSG00000159648","TEPP"
"ENSG00000159650","UROC1"
"ENSG00000159658","EFCAB14"
"ENSG00000159674","SPON2"
"ENSG00000159685","CHCHD6"
"ENSG00000159692","CTBP1"
"ENSG00000159708","LRRC36"
"ENSG00000159713","TPPP3"
"ENSG00000159714","ZDHHC1"
"ENSG00000159720","ATP6V0D1"
"ENSG00000159723","AGRP"
"ENSG00000159733","ZFYVE28"
"ENSG00000159753","CARMIL2"
"ENSG00000159761","C16orf86"
"ENSG00000159763","PIP"
"ENSG00000159784","FAM131B"
"ENSG00000159788","RGS12"
"ENSG00000159792","PSKH1"
"ENSG00000159840","ZYX"
"ENSG00000159842","ABR"
"ENSG00000159871","LYPD5"
"ENSG00000159873","CCDC117"
"ENSG00000159882","ZNF230"
"ENSG00000159884","CCDC107"
"ENSG00000159885","ZNF222"
"ENSG00000159899","NPR2"
"ENSG00000159905","ZNF221"
"ENSG00000159915","ZNF233"
"ENSG00000159917","ZNF235"
"ENSG00000159921","GNE"
"ENSG00000159958","TNFRSF13C"
"ENSG00000159961","OR3A3"
"ENSG00000160007","ARHGAP35"
"ENSG00000160013","PTGIR"
"ENSG00000160014","CALM3"
"ENSG00000160049","DFFA"
"ENSG00000160050","CCDC28B"
"ENSG00000160051","IQCC"
"ENSG00000160055","TMEM234"
"ENSG00000160058","BSDC1"
"ENSG00000160062","ZBTB8A"
"ENSG00000160072","ATAD3B"
"ENSG00000160075","SSU72"
"ENSG00000160087","UBE2J2"
"ENSG00000160094","ZNF362"
"ENSG00000160097","FNDC5"
"ENSG00000160111","CPAMD8"
"ENSG00000160113","NR2F6"
"ENSG00000160117","ANKLE1"
"ENSG00000160124","MIX23"
"ENSG00000160131","VMA21"
"ENSG00000160145","KALRN"
"ENSG00000160161","CILP2"
"ENSG00000160179","ABCG1"
"ENSG00000160180","TFF3"
"ENSG00000160181","TFF2"
"ENSG00000160182","TFF1"
"ENSG00000160183","TMPRSS3"
"ENSG00000160185","UBASH3A"
"ENSG00000160188","RSPH1"
"ENSG00000160190","SLC37A1"
"ENSG00000160191","PDE9A"
"ENSG00000160193","WDR4"
"ENSG00000160194","NDUFV3"
"ENSG00000160199","PKNOX1"
"ENSG00000160200","CBS"
"ENSG00000160201","U2AF1"
"ENSG00000160202","CRYAA"
"ENSG00000160207","HSF2BP"
"ENSG00000160208","RRP1B"
"ENSG00000160209","PDXK"
"ENSG00000160211","G6PD"
"ENSG00000160213","CSTB"
"ENSG00000160214","RRP1"
"ENSG00000160216","AGPAT3"
"ENSG00000160218","TRAPPC10"
"ENSG00000160219","GAB3"
"ENSG00000160221","GATD3"
"ENSG00000160223","ICOSLG"
"ENSG00000160224","AIRE"
"ENSG00000160226","CFAP410"
"ENSG00000160229","ZNF66"
"ENSG00000160233","LRRC3"
"ENSG00000160255","ITGB2"
"ENSG00000160256","SLX9"
"ENSG00000160271","RALGDS"
"ENSG00000160282","FTCD"
"ENSG00000160284","SPATC1L"
"ENSG00000160285","LSS"
"ENSG00000160293","VAV2"
"ENSG00000160294","MCM3AP"
"ENSG00000160298","C21orf58"
"ENSG00000160299","PCNT"
"ENSG00000160305","DIP2A"
"ENSG00000160307","S100B"
"ENSG00000160310","PRMT2"
"ENSG00000160318","CLDND2"
"ENSG00000160321","ZNF208"
"ENSG00000160323","ADAMTS13"
"ENSG00000160325","CACFD1"
"ENSG00000160326","SLC2A6"
"ENSG00000160336","ZNF761"
"ENSG00000160339","FCN2"
"ENSG00000160345","PIERCE1"
"ENSG00000160349","LCN1"
"ENSG00000160352","ZNF714"
"ENSG00000160360","GPSM1"
"ENSG00000160392","C19orf47"
"ENSG00000160396","HIPK4"
"ENSG00000160401","CFAP157"
"ENSG00000160404","TOR2A"
"ENSG00000160408","ST6GALNAC6"
"ENSG00000160410","SHKBP1"
"ENSG00000160439","RDH13"
"ENSG00000160445","ZER1"
"ENSG00000160446","ZDHHC12"
"ENSG00000160447","PKN3"
"ENSG00000160460","SPTBN4"
"ENSG00000160469","BRSK1"
"ENSG00000160471","COX6B2"
"ENSG00000160472","TMEM190"
"ENSG00000160505","NLRP4"
"ENSG00000160539","PLPP7"
"ENSG00000160551","TAOK1"
"ENSG00000160563","MED27"
"ENSG00000160570","DEDD2"
"ENSG00000160584","SIK3"
"ENSG00000160588","MPZL3"
"ENSG00000160593","JAML"
"ENSG00000160602","NEK8"
"ENSG00000160606","TLCD1"
"ENSG00000160613","PCSK7"
"ENSG00000160633","SAFB"
"ENSG00000160654","CD3G"
"ENSG00000160678","S100A1"
"ENSG00000160679","CHTOP"
"ENSG00000160683","CXCR5"
"ENSG00000160685","ZBTB7B"
"ENSG00000160688","FLAD1"
"ENSG00000160691","SHC1"
"ENSG00000160695","VPS11"
"ENSG00000160703","NLRX1"
"ENSG00000160710","ADAR"
"ENSG00000160712","IL6R"
"ENSG00000160714","UBE2Q1"
"ENSG00000160716","CHRNB2"
"ENSG00000160741","CRTC2"
"ENSG00000160746","ANO10"
"ENSG00000160752","FDPS"
"ENSG00000160753","RUSC1"
"ENSG00000160767","FAM189B"
"ENSG00000160781","PAQR6"
"ENSG00000160783","PMF1"
"ENSG00000160785","SLC25A44"
"ENSG00000160789","LMNA"
"ENSG00000160791","CCR5"
"ENSG00000160796","NBEAL2"
"ENSG00000160799","CCDC12"
"ENSG00000160801","PTH1R"
"ENSG00000160803","UBQLN4"
"ENSG00000160808","MYL3"
"ENSG00000160813","PPP1R35"
"ENSG00000160818","GPATCH4"
"ENSG00000160838","LRRC71"
"ENSG00000160856","FCRL3"
"ENSG00000160862","AZGP1"
"ENSG00000160867","FGFR4"
"ENSG00000160868","CYP3A4"
"ENSG00000160870","CYP3A7"
"ENSG00000160877","NACC1"
"ENSG00000160882","CYP11B1"
"ENSG00000160883","HK3"
"ENSG00000160886","LY6K"
"ENSG00000160888","IER2"
"ENSG00000160908","ZNF394"
"ENSG00000160917","CPSF4"
"ENSG00000160932","LY6E"
"ENSG00000160948","VPS28"
"ENSG00000160949","TONSL"
"ENSG00000160951","PTGER1"
"ENSG00000160953","PWWP3A"
"ENSG00000160957","RECQL4"
"ENSG00000160959","LRRC14"
"ENSG00000160961","ZNF333"
"ENSG00000160963","COL26A1"
"ENSG00000160972","PPP1R16A"
"ENSG00000160973","FOXH1"
"ENSG00000160991","ORAI2"
"ENSG00000160993","ALKBH4"
"ENSG00000160994","CCDC105"
"ENSG00000160999","SH2B2"
"ENSG00000161010","MRNIP"
"ENSG00000161011","SQSTM1"
"ENSG00000161013","MGAT4B"
"ENSG00000161016","RPL8"
"ENSG00000161021","MAML1"
"ENSG00000161031","PGLYRP2"
"ENSG00000161036","LRWD1"
"ENSG00000161040","FBXL13"
"ENSG00000161048","NAPEPLD"
"ENSG00000161055","SCGB3A1"
"ENSG00000161057","PSMC2"
"ENSG00000161082","CELF5"
"ENSG00000161091","MFSD12"
"ENSG00000161103","POM121L15P"
"ENSG00000161179","YDJC"
"ENSG00000161180","CCDC116"
"ENSG00000161202","DVL3"
"ENSG00000161203","AP2M1"
"ENSG00000161204","ABCF3"
"ENSG00000161217","PCYT1A"
"ENSG00000161243","FBXO27"
"ENSG00000161249","DMKN"
"ENSG00000161265","U2AF1L4"
"ENSG00000161267","BDH1"
"ENSG00000161270","NPHS1"
"ENSG00000161277","THAP8"
"ENSG00000161281","COX7A1"
"ENSG00000161298","ZNF382"
"ENSG00000161328","LRRC56"
"ENSG00000161381","PLXDC1"
"ENSG00000161395","PGAP3"
"ENSG00000161405","IKZF3"
"ENSG00000161509","GRIN2C"
"ENSG00000161513","FDXR"
"ENSG00000161526","SAP30BP"
"ENSG00000161533","ACOX1"
"ENSG00000161542","PRPSAP1"
"ENSG00000161544","CYGB"
"ENSG00000161547","SRSF2"
"ENSG00000161551","ZNF577"
"ENSG00000161558","TMEM143"
"ENSG00000161594","KLHL10"
"ENSG00000161609","KASH5"
"ENSG00000161610","HCRT"
"ENSG00000161618","ALDH16A1"
"ENSG00000161634","DCD"
"ENSG00000161638","ITGA5"
"ENSG00000161640","SIGLEC11"
"ENSG00000161642","ZNF385A"
"ENSG00000161643","SIGLEC16"
"ENSG00000161647","MPP3"
"ENSG00000161649","CD300LG"
"ENSG00000161652","IZUMO2"
"ENSG00000161653","NAGS"
"ENSG00000161654","LSM12"
"ENSG00000161664","ASB16"
"ENSG00000161671","EMC10"
"ENSG00000161677","JOSD2"
"ENSG00000161681","SHANK1"
"ENSG00000161682","FAM171A2"
"ENSG00000161692","DBF4B"
"ENSG00000161714","PLCD3"
"ENSG00000161791","FMNL3"
"ENSG00000161798","AQP5"
"ENSG00000161800","RACGAP1"
"ENSG00000161807","OR7G1"
"ENSG00000161813","LARP4"
"ENSG00000161835","TAMALIN"
"ENSG00000161847","RAVER1"
"ENSG00000161849","KRT84"
"ENSG00000161850","KRT82"
"ENSG00000161860","SYCE2"
"ENSG00000161888","SPC24"
"ENSG00000161896","IP6K3"
"ENSG00000161904","LEMD2"
"ENSG00000161905","ALOX15"
"ENSG00000161911","TREML1"
"ENSG00000161914","ZNF653"
"ENSG00000161920","MED11"
"ENSG00000161921","CXCL16"
"ENSG00000161929","SCIMP"
"ENSG00000161939","RNASEK-C17orf49"
"ENSG00000161940","BCL6B"
"ENSG00000161944","ASGR2"
"ENSG00000161955","TNFSF13"
"ENSG00000161956","SENP3"
"ENSG00000161958","FGF11"
"ENSG00000161960","EIF4A1"
"ENSG00000161970","RPL26"
"ENSG00000161973","CCDC42"
"ENSG00000161980","POLR3K"
"ENSG00000161981","SNRNP25"
"ENSG00000161992","PRR35"
"ENSG00000161996","WDR90"
"ENSG00000161999","JMJD8"
"ENSG00000162004","CCDC78"
"ENSG00000162006",NA
"ENSG00000162009","SSTR5"
"ENSG00000162032","SPSB3"
"ENSG00000162039","MEIOB"
"ENSG00000162040","HS3ST6"
"ENSG00000162062","TEDC2"
"ENSG00000162063","CCNF"
"ENSG00000162065","TBC1D24"
"ENSG00000162066","AMDHD2"
"ENSG00000162068","NTN3"
"ENSG00000162069","BICDL2"
"ENSG00000162073","PAQR4"
"ENSG00000162076","FLYWCH2"
"ENSG00000162078","ZG16B"
"ENSG00000162086","ZNF75A"
"ENSG00000162104","ADCY9"
"ENSG00000162105","SHANK2"
"ENSG00000162129","CLPB"
"ENSG00000162139","NEU3"
"ENSG00000162144","CYB561A3"
"ENSG00000162148","PPP1R32"
"ENSG00000162174","ASRGL1"
"ENSG00000162188","GNG3"
"ENSG00000162191","UBXN1"
"ENSG00000162194","LBHD1"
"ENSG00000162222","TTC9C"
"ENSG00000162227","TAF6L"
"ENSG00000162231","NXF1"
"ENSG00000162236","STX5"
"ENSG00000162241","SLC25A45"
"ENSG00000162244","RPL29"
"ENSG00000162267","ITIH3"
"ENSG00000162298","SYVN1"
"ENSG00000162300","ZFPL1"
"ENSG00000162302","RPS6KA4"
"ENSG00000162337","LRP5"
"ENSG00000162341","TPCN2"
"ENSG00000162344","FGF19"
"ENSG00000162365","CYP4A22"
"ENSG00000162366","PDZK1IP1"
"ENSG00000162367","TAL1"
"ENSG00000162368","CMPK1"
"ENSG00000162373","BEND5"
"ENSG00000162374","ELAVL4"
"ENSG00000162377","COA7"
"ENSG00000162378","ZYG11B"
"ENSG00000162383","SLC1A7"
"ENSG00000162384","CZIB"
"ENSG00000162385","MAGOH"
"ENSG00000162390","ACOT11"
"ENSG00000162391","FAM151A"
"ENSG00000162396","PARS2"
"ENSG00000162398","LEXM"
"ENSG00000162399","BSND"
"ENSG00000162402","USP24"
"ENSG00000162407","PLPP3"
"ENSG00000162408","NOL9"
"ENSG00000162409","PRKAA2"
"ENSG00000162413","KLHL21"
"ENSG00000162415","ZSWIM5"
